english_name,chinese_name,district_code,district_en,district_zh,gazette_date,gazette_notice,gazette_date_raw
ON WAN ROAD,安運道,YTM,Yau Tsim Mong,油尖旺,1976-03-05,528,27824
ON WAN ROAD,安運道,YTM,Yau Tsim Mong,油尖旺,2001-03-09,1565,36959
ON WAN ROAD,安運道,YTM,Yau Tsim Mong,油尖旺,2015-11-13,8864,42321
ON WING STREET,安榮街,TW,Tsuen  Wan,荃灣,1973-03-16,704,26739
ON YAN STREET,安茵街,KT,Kwun Tong,觀塘,2015-08-28,6516,42244
ON YAT STREET,安逸街,TW,Tsuen  Wan,荃灣,1980-11-28,3731,29553
ON YIN STREET,安賢街,TW,Tsuen  Wan,荃灣,1980-11-28,3731,29553
ON YIP STREET,安業街,E,Eastern,東區,1974-05-31,1380,27180
ON YIU STREET,安耀街,ST,Sha Tin,沙田,1984-09-07,2660,30932
ON YIU STREET,安耀街,ST,Sha Tin,沙田,2003-01-10,229,37631
ON YU PATH,安愉徑,SK,Sai  Kung,西貢,2021-05-28,3262,44344
ON YU ROAD,安愉道,SK-KT,Sai  Kung / Kwun Tong,西貢 / 觀塘,2021-05-28,3262,44344
ON YUEN STREET,鞍源街,ST,Sha Tin,沙田,1994-04-15,1351,34439
ON YUK ROAD,安育路,TW,Tsuen  Wan,荃灣,1972-09-15,2305,26557
ON YUK ROAD,安育路,TW,Tsuen  Wan,荃灣,1977-01-07,40,28132
ON YUK ROAD,安育路,TW,Tsuen  Wan,荃灣,1987-11-27,3981,32108
ORMSBY STREET,安庶庇街,WC,Wan  Chai,灣仔,1941-07-18,870,15175
ORMSBY STREET,安庶庇街,WC,Wan  Chai,灣仔,1974-11-15,2866,27348
OSMANTHUS ROAD,丹桂路,SSP,Sham  Shui  Po,深水埗,1953-11-20,1420,19683
OXFORD ROAD,牛津道,KC,Kowloon  City,九龍城,1951-05-18,522,18766
OXFORD ROAD,牛津道,KC,Kowloon  City,九龍城,1961-06-16,1002,22448
PA MEI ROAD,壩尾路,Is,Islands,離島,1997-08-01,488,35643
PAI CHONG ROAD,排廠路,Is,Islands,離島,1985-08-09,2597,31268
PAI TAU STREET,排頭街,ST,Sha Tin,沙田,1984-06-15,1737,30848
PAK FA LAM ROAD,百花林路,SK,Sai  Kung,西貢,2003-11-28,8574,37953
PAK FUK ROAD,百福道,E,Eastern,東區,1964-10-30,2990,23680
PAK FUK ROAD,百福道,E,Eastern,東區,1985-05-10,1515,31177
PAK HOI STREET,北海街,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
PAK HOK TING STREET,白鶴汀街,ST,Sha Tin,沙田,1982-03-12,827,30022
PAK KOK TSUI ROAD,北角咀路,Is,Islands,離島,1985-08-09,2597,31268
PAK KONG AU ROAD,北港㘭路,SK,Sai  Kung,西貢,1991-07-05,2294,33424
PAK KONG AU ROAD,北港㘭路,SK,Sai  Kung,西貢,2007-05-11,3078,39213
PAK KONG ROAD,北港路,SK,Sai  Kung,西貢,1987-02-06,419,31814
PAK KUNG STREET,北拱街,KC,Kowloon  City,九龍城,1926-06-25,342,9673
PAK LAI ROAD,珀麗路,TW,Tsuen  Wan,荃灣,2002-09-27,6118,37526
PAK LAM ROAD,珀林路,TW,Tsuen  Wan,荃灣,2002-09-27,6118,37526
PAK LEE STREET,百利街,ST,Sha Tin,沙田,1981-11-13,3369,29903
PAK LOK PATH,百樂徑,ST,Sha Tin,沙田,1995-12-08,5098,35041
PAK PAT SHAN ROAD,白筆山道,S,Southern,南區,1972-09-01,2180,26543
PAK PAT SHAN ROAD,白筆山道,S,Southern,南區,1978-08-18,2108,28720
PAK PAT SHAN ROAD,白筆山道,S,Southern,南區,1988-05-06,1452,32269
PAK PO STREET,白布街,YTM,Yau Tsim Mong,油尖旺,1932-07-15,465,11885
PAK SAU ROAD,柏壽路,N,North,北區,2022-12-30,7562,44925
PAK SHA ROAD,白沙道,WC,Wan  Chai,灣仔,1953-05-22,667,19501
PAK SHA SHAN ROAD,白沙山路,YL,Yuen Long,元朗,2012-01-13,230,40921
PAK SHA WAN STREET,白沙灣街,SK,Sai  Kung,西貢,2018-03-02,1472,43161
PAK SHE FIFTH LANE,北社五里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE FIRST LANE,北社壹里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE FOURTH LANE,北社四里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE PRAYA ROAD,北社海傍路,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE SECOND LANE,北社二里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE SEVENTH LANE,北社七里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE SIXTH LANE,北社六里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHE STREET,北社街,Is,Islands,離島,1983-08-12,2627,30540
PAK SHE THIRD LANE,北社三里,Is,Islands,離島,1985-08-09,2597,31268
PAK SHEK TOI ROAD,白石臺路,SK,Sai  Kung,西貢,1991-03-28,1087,33325
PAK SHEK WO SAN TSUEN ROAD,白石窩新村路,SK,Sai  Kung,西貢,1992-04-10,1271,33704
PAK SHING KOK ROAD,百勝角路,SK,Sai  Kung,西貢,2013-01-11,216,41285
PAK SHING KOK ROAD,百勝角路,SK,Sai  Kung,西貢,2015-07-03,4865,42188
PAK SHING KOK ROAD,百勝角路,SK,Sai  Kung,西貢,2015-07-24,5558,42209
PAK SHING STREET,北盛街,TP,Tai  Po,大埔,1930-05-02,262,11080
PAK SHING STREET,北盛街,TP,Tai  Po,大埔,1961-11-10,1975,22595
PAK TAI STREET,北帝街,KC,Kowloon  City,九龍城,1926-02-12,68,9540
PAK TAI STREET,北帝街,KC,Kowloon  City,九龍城,1926-04-16,202,9603
PAK TAK STREET,百得街,ST,Sha Tin,沙田,1981-11-13,3369,29903
PAK TAK STREET,百得街,ST,Sha Tin,沙田,1986-01-17,245,31429
PAK TAM ROAD,北潭路,SK-TP,Sai  Kung / Tai  Po,西貢 / 大埔,1980-12-24,4050,29579
PAK TIN PAR STREET,白田壩街,TW,Tsuen  Wan,荃灣,1962-11-23,2378,22973
PAK TIN STREET,白田街,SSP,Sham  Shui  Po,深水埗,1956-08-31,1108,20698
PAK TIN STREET,白田街,SSP,Sham  Shui  Po,深水埗,1977-07-29,1794,28335
PAK TO AVENUE,柏濤徑,SK,Sai  Kung,西貢,1998-05-22,2485,35937
PAK WAI LANE,柏蕙里,N,North,北區,2004-04-30,2812,38107
PAK WAN STREET,白雲街,SSP,Sham  Shui  Po,深水埗,1977-07-29,1794,28335
PAK WO ROAD,百和路,N,North,北區,1992-01-03,64,33606
PAK WO ROAD,百和路,N,North,北區,1992-03-06,833,33669
PAK WO ROAD,百和路,N,North,北區,1995-01-13,155,34712
PAK YAN ROAD,珀欣路,TW,Tsuen  Wan,荃灣,2002-09-27,6118,37526
PALM SPRINGS BOULEVARD,加州花園大道,YL,Yuen Long,元朗,1996-06-21,2738,35237
PALM STREET,棕樹街,YTM,Yau Tsim Mong,油尖旺,1954-11-05,1349,20033
PAN CHUNG ROAD,泮涌路,TP,Tai  Po,大埔,1991-08-23,2969,33473
PAN HOI STREET,濱海街,E,Eastern,東區,1958-12-19,1728,21538
PAN LONG WAN ROAD,檳榔灣路,SK,Sai  Kung,西貢,1991-09-20,3343,33501
PANG CHING STREET,鵬程街,KC,Kowloon  City,九龍城,1959-04-17,548,21657
PARC OASIS ROAD,又一居道,SSP,Sham  Shui  Po,深水埗,1997-06-20,3081,35601
PARK PROMENADE,迎樂路,Is-TW,Islands / Tsuen  Wan,離島 / 荃灣,2004-12-17,8104,38338
PARK ROAD,柏道,C&W,Central  &  Western,中西區,1904-01-29,59,1490
PARKLAND DRIVE,明蔚徑,Is,Islands,離島,1994-11-18,4386,34656
PARKRIDGE CRESCENT,明翠徑,Is,Islands,離島,1994-11-18,4386,34656
PARKVALE DRIVE,寶峰徑,Is,Islands,離島,1994-11-18,4386,34656
PAT HEUNG ROAD,八鄉路,YL,Yuen Long,元朗,1998-11-06,5414,36105
PAT HEUNG ROAD,八鄉路,YL,Yuen Long,元朗,2002-07-26,4592,37463
PAT TAT STREET,八達街,WTS,Wong Tai Sin,黃大仙,1961-09-08,1577,22532
PAT TSZ WO STREET,拔子窩街,ST,Sha Tin,沙田,1981-06-12,1685,29749
PATERSON STREET,百德新街,WC,Wan  Chai,灣仔,1957-03-08,339,20887
PAU CHUNG STREET,炮仗街,KC,Kowloon  City,九龍城,1926-02-12,68,9540
PAU CHUNG STREET,炮仗街,KC,Kowloon  City,九龍城,1926-04-16,202,9603
PEACOCK ROAD,孔雀道,E,Eastern,東區,1952-10-10,1173,19277
PEAK ROAD,山頂道,C&W-WC,Central  &  Western / Wan  Chai,中西區 / 灣仔,1960-07-29,1174,22126
PEDDER STREET,畢打街,C&W,Central  &  Western,中西區,1976-03-12,579,27831
PEEL RISE,貝璐道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1960-07-29,1174,22126
PEKING ROAD,北京道,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
PENG CHAU HO KING STREET,坪洲好景街,Is,Islands,離島,2016-09-23,5398,42636
PENG CHAU WING HING STREET,坪洲永興街,Is,Islands,離島,1987-05-22,1658,31919
PENG CHAU WING ON SIDE STREET,坪洲永安橫街,Is,Islands,離島,1987-05-22,1658,31919
PENG CHAU WING ON STREET,坪洲永安街,Is,Islands,離島,1987-05-22,1658,31919
PENG LEI ROAD,坪利路,Is,Islands,離島,1993-01-15,136,33984
PENG LEI ROAD,坪利路,Is,Islands,離島,1997-09-19,1404,35692
PENG YU PATH,坪愉徑,Is,Islands,離島,2008-05-02,2893,39570
PENNINGTON STREET,邊寧頓街,WC,Wan  Chai,灣仔,1959-01-30,168,21580
PENNY'S BAY HIGHWAY,竹篙灣公路,TW,Tsuen  Wan,荃灣,2004-12-17,8104,38338
PENTLAND STREET,品蘭街,KC,Kowloon  City,九龍城,1935-03-01,165,12844
PEONY ROAD,牡丹路,SSP,Sham  Shui  Po,深水埗,1953-11-20,1420,19683
PERCIVAL STREET,波斯富街,WC,Wan  Chai,灣仔,1929-06-14,312,10758
PERFORMING ARTS AVENUE,演藝道,WC,Wan  Chai,灣仔,1997-10-17,1882,35720
PERKINS ROAD,白建時道,WC,Wan  Chai,灣仔,1951-07-20,754,18829
PERTH STREET,巴富街,KC,Kowloon  City,九龍城,1950-09-15,1083,18521
PIER ROAD,統一碼頭道,C&W,Central  &  Western,中西區,1974-05-31,1381,27180
PIK FUNG ROAD,璧峰路,N,North,北區,1987-08-28,2857,32017
PIK FUNG ROAD,璧峰路,N,North,北區,1988-01-15,147,32157
PIK SHA ROAD,碧沙路,SK,Sai  Kung,西貢,1983-01-28,324,30344
PIK TIN STREET,碧田街,ST,Sha Tin,沙田,1986-10-10,3517,31695
PIK UK TSUEN ROAD,壁屋村路,SK,Sai  Kung,西貢,1991-07-05,2294,33424
PIK WAN ROAD,碧雲道,KT,Kwun Tong,觀塘,1986-07-25,2532,31618
PIK WAN ROAD,碧雲道,KT,Kwun Tong,觀塘,1991-01-25,303,33263
PILKEM STREET,庇利金街,YTM,Yau Tsim Mong,油尖旺,1923-09-28,411,8672
PINE STREET,杉樹街,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
PINE STREET,杉樹街,YTM,Yau Tsim Mong,油尖旺,1928-06-15,337,10394
PINE TREE HILL ROAD,松山道,YTM,Yau Tsim Mong,油尖旺,1933-05-12,341,12186
PINERY ROAD EAST,松濤東路,YL,Yuen Long,元朗,1984-08-31,2609,30925
PING CHEONG PATH,屏昌徑,YL,Yuen Long,元朗,1983-06-03,1752,30470
PING CHI STREET,平治街,KC,Kowloon  City,九龍城,1965-04-09,914,23841
PING CHONG ROAD,冰廠路,Is,Islands,離島,1985-08-09,2597,31268
PING CHUK LANE,屏竹里,YL,Yuen Long,元朗,1993-03-19,944,34047
PING FAI PATH,屏輝徑,YL,Yuen Long,元朗,1983-06-03,1752,30470
PING FU PATH,屏富徑,K&T,Kwai  Tsing,葵青,1970-03-06,535,25633
PING FUK LANE,屏福里,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING HA PATH,屏廈徑,YL,Yuen Long,元朗,2017-11-10,8364,43049
PING HA ROAD,屏廈路,YL,Yuen Long,元朗,1982-03-05,755,30015
PING HA ROAD,屏廈路,YL,Yuen Long,元朗,1991-12-13,4470,33585
PING HA ROAD,屏廈路,YL,Yuen Long,元朗,2013-05-10,2720,41404
PING HING LANE,屏興里,YL,Yuen Long,元朗,1989-05-26,1824,32654
PING HONG LANE,屏康里,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING KIN LANE,屏健里,YL,Yuen Long,元朗,2017-09-29,7314,43007
PING KONG ROAD,丙岡路,N,North,北區,1999-03-26,1722,36245
PING KWAI ROAD,屏葵路,YL,Yuen Long,元朗,1993-03-19,944,34047
PING LAI PATH,屏麗徑,K&T,Kwai  Tsing,葵青,1974-09-13,2352,27285
PING LAN STREET,平瀾街,S,Southern,南區,1932-04-22,245,11801
PING LAN STREET,平瀾街,S,Southern,南區,1932-04-29,255,11808
PING LOK PATH,平樂徑,YL,Yuen Long,元朗,1983-06-03,1752,30470
PING LONG ROAD,坪朗路,TP,Tai  Po,大埔,2005-05-27,2492,38499
PING ON LANE,平安里,C&W,Central  &  Western,中西區,1967-07-14,1517,24667
PING ON LANE,平安里,C&W,Central  &  Western,中西區,1967-12-08,2628,24814
PING PAK LANE,屏柏里,YL,Yuen Long,元朗,1993-03-19,944,34047
PING SHAN LANE,屏山里,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING SHAN LANE,屏山里,YL,Yuen Long,元朗,1991-12-13,4468,33585
PING SHAN NAM PAK ROAD,屏山南北路,YL,Yuen Long,元朗,1995-11-10,4654,35013
PING SHEK LANE,坪石里,KT,Kwun Tong,觀塘,2021-07-30,4715,44407
PING SHING LANE,平成里,KT,Kwun Tong,觀塘,1961-05-19,850,22420
PING SHUN STREET,屏信街,YL,Yuen Long,元朗,1981-12-18,3742,29938
PING TIN STREET,平田街,KT,Kwun Tong,觀塘,1967-01-13,88,24485
PING TING ROAD,平定道,WTS,Wong Tai Sin,黃大仙,1976-04-02,722,27852
PING TING ROAD,平定道,WTS,Wong Tai Sin,黃大仙,1976-04-30,922,27880
PING TING ROAD,平定道,WTS,Wong Tai Sin,黃大仙,1989-07-07,2313,32696
PING TING ROAD EAST,平定道東,WTS,Wong Tai Sin,黃大仙,2004-04-23,2629,38100
PING TONG STREET EAST,屏唐東街,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING TONG STREET NORTH,屏唐北街,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING TONG STREET SOUTH,屏唐南街,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING TONG STREET WEST,屏唐西街,YL,Yuen Long,元朗,1985-09-13,3022,31303
PING WUI STREET,屏會街,YL,Yuen Long,元朗,1981-12-18,3742,29938
PING YEE ROAD,屏義路,YL,Yuen Long,元朗,1992-01-03,63,33606
PING YEUNG LANE,屏楊里,YL,Yuen Long,元朗,1993-03-19,944,34047
PING YIP STREET,屏業街,YL,Yuen Long,元朗,2026-04-24,2370,46136
PING YUEN ROAD,坪原路,N,North,北區,1997-05-02,2143,35552
PIPER'S HILL ROAD,琵琶山路,ST,Sha Tin,沙田,2004-12-10,7971,38331
PLAYING FIELD ROAD,運動場道,YTM,Yau Tsim Mong,油尖旺,1932-09-16,591,11948
PLAZA LANE,廣場徑,Is,Islands,離島,1994-11-18,4386,34656
PLOVER COVE ROAD,寶湖道,TP,Tai  Po,大埔,1966-03-11,688,24177
PLOVER COVE ROAD,寶湖道,TP,Tai  Po,大埔,1992-05-01,1505,33725
PLOVER COVE ROAD,寶湖道,TP,Tai  Po,大埔,1999-01-08,113,36168
PLUNKETT'S ROAD,賓吉道,C&W,Central  &  Western,中西區,1908-02-07,80,2960
PO CHIU ROAD,普照路,KT,Kwun Tong,觀塘,2000-06-16,3864,36693
PO FAI PATH,保輝徑,YL,Yuen Long,元朗,1983-06-03,1752,30470
PO FONG LANE,蒲芳里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO FUNG ROAD,寶豐路,SK,Sai  Kung,西貢,1990-11-02,3967,33179
PO FUNG TERRACE,寶豐台,TW,Tsuen  Wan,荃灣,1984-01-27,287,30708
PO HANG LANE,蒲蘅里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO HEUNG BRIDGE,寶鄉橋,TP,Tai  Po,大埔,1984-10-19,3074,30974
PO HEUNG LANE,寶鄉里,TP,Tai  Po,大埔,2001-03-09,1564,36959
PO HEUNG SQUARE,寶鄉坊,TP,Tai  Po,大埔,1972-05-05,1092,26424
PO HEUNG STREET,寶鄉街,TP,Tai  Po,大埔,1966-03-11,688,24177
PO HEUNG STREET,寶鄉街,TP,Tai  Po,大埔,1972-05-05,1092,26424
PO HEUNG STREET,寶鄉街,TP,Tai  Po,大埔,1984-10-19,3074,30974
PO HING FONG,普慶坊,C&W,Central  &  Western,中西區,1901-01-26,49,392
PO HING FONG,普慶坊,C&W,Central  &  Western,中西區,1901-02-09,74,406
PO HONG ROAD,寶康路,SK,Sai  Kung,西貢,1990-11-02,3967,33179
PO HONG ROAD,寶康路,SK,Sai  Kung,西貢,1991-10-11,3622,33522
PO HONG ROAD,寶康路,SK,Sai  Kung,西貢,1995-04-13,1315,34802
PO HONG ROAD,寶康路,SK,Sai  Kung,西貢,1998-06-26,3110,35972
PO HONG ROAD,寶康路,SK,Sai  Kung,西貢,2002-02-08,899,37295
PO KAK TSAI ROAD,布格仔路,N,North,北區,2003-03-28,2187,37708
PO KIN ROAD,保健路,N,North,北區,1992-05-08,1593,33732
PO KING LANE,蒲景里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO KONG LANE,蒲崗里,WTS,Wong Tai Sin,黃大仙,1975-01-17,176,27411
PO KONG VILLAGE ROAD,蒲崗村道,WTS,Wong Tai Sin,黃大仙,1953-08-14,998,19585
PO KONG VILLAGE ROAD,蒲崗村道,WTS,Wong Tai Sin,黃大仙,1972-07-28,1872,26508
PO LAM LANE,寶琳里,SK,Sai  Kung,西貢,2000-02-03,718,36559
PO LAM ROAD,寶琳路,SK-KT,Sai  Kung / Kwun Tong,西貢 / 觀塘,1986-05-30,1866,31562
PO LAM ROAD,寶琳路,SK-KT,Sai  Kung / Kwun Tong,西貢 / 觀塘,1988-07-22,2355,32346
PO LAM ROAD NORTH,寶琳北路,SK,Sai  Kung,西貢,1988-07-22,2355,32346
PO LAM ROAD NORTH,寶琳北路,SK,Sai  Kung,西貢,1990-11-02,3960,33179
PO LAM ROAD SOUTH,寶琳南路,SK,Sai  Kung,西貢,1988-07-22,2355,32346
PO LAU ROAD,波樓路,N,North,北區,1998-01-23,406,35818
PO LEI STREET,寶梨街,K&T,Kwai  Tsing,葵青,1985-08-16,2680,31275
PO LEUNG LANE,蒲良里,WTS,Wong Tai Sin,黃大仙,1987-07-24,2385,31982
PO LO CHE PATH,菠蘿輋徑,SK,Sai  Kung,西貢,2012-07-27,5102,41117
PO LO CHE ROAD,菠蘿輋路,SK,Sai  Kung,西貢,1991-02-22,649,33291
PO LOI STREET,寶來街,KC,Kowloon  City,九龍城,1980-05-23,1581,29364
PO LOK SQUARE,寶樂坊,YL,Yuen Long,元朗,1983-06-03,1752,30470
PO LUEN PATH,寶聯徑,E,Eastern,東區,1984-02-10,413,30722
PO LUN STREET,寶輪街,SSP,Sham  Shui  Po,深水埗,1966-07-15,1808,24303
PO MAN STREET,寶文街,E,Eastern,東區,1957-01-25,119,20845
PO MIN PATH,坡面徑,TP,Tai  Po,大埔,2018-02-02,651,43133
PO MING LANE,蒲明里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO NGA ROAD,寶雅路,TP,Tai  Po,大埔,1999-04-09,1943,36259
PO NGONG DRIVE,寶昂路,Is,Islands,離島,2005-12-23,6829,38709
PO NING LANE,寶寧里,SK,Sai  Kung,西貢,1991-03-28,1087,33325
PO NING ROAD,寶寧路,SK,Sai  Kung,西貢,1990-11-02,3967,33179
PO NING ROAD,寶寧路,SK,Sai  Kung,西貢,1994-03-25,1094,34418
PO ON ROAD,保安道,SSP,Sham  Shui  Po,深水埗,1934-02-09,91,12459
PO PENG STREET,寶坪街,Is,Islands,離島,1993-01-15,136,33984
PO PING ROAD,保平路,N,North,北區,1992-05-08,1593,33732
PO PUI STREET,寶珮街,KT,Kwun Tong,觀塘,1995-12-15,5184,35048
PO SHAN ROAD,寶珊道,C&W,Central  &  Western,中西區,1928-07-06,386,10415
PO SHEK WU ROAD,寶石湖路,N,North,北區,1992-01-03,64,33606
PO SHIN STREET,普善街,WC,Wan  Chai,灣仔,1930-03-07,138,11024
PO SHING STREET,寶城街,ST,Sha Tin,沙田,1986-01-17,245,31429
PO SHU LANE,寶樹里,YL,Yuen Long,元朗,1983-06-03,1752,30470
PO SHUN ROAD,寶順路,SK,Sai  Kung,西貢,1995-04-13,1315,34802
PO SHUN ROAD,寶順路,SK,Sai  Kung,西貢,1998-06-26,3110,35972
PO SHUN ROAD,寶順路,SK,Sai  Kung,西貢,2003-02-14,934,37666
PO SHUN ROAD,寶順路,SK,Sai  Kung,西貢,2005-09-30,4965,38625
PO TAI STREET,保泰街,ST,Sha Tin,沙田,2000-01-21,378,36546
PO TEI ROAD,波地路,YL,Yuen Long,元朗,1992-06-12,2021,33767
PO TIN LANE,蒲田里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO TOI O CHUEN ROAD,布袋澳村路,SK,Sai  Kung,西貢,1990-12-28,4644,33235
PO TSZ LANE,蒲慈里,WTS,Wong Tai Sin,黃大仙,1986-05-09,1598,31541
PO TUNG ROAD,普通道,SK,Sai  Kung,西貢,1976-11-05,2462,28069
PO WAI LANE,蒲蕙里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO WAN ROAD,寶運路,N,North,北區,1992-01-03,64,33606
PO WING ROAD,保榮路,N,North,北區,1995-01-13,155,34712
PO WU LANE,寶湖里,TP,Tai  Po,大埔,1987-05-08,1539,31905
PO YAN STREET,普仁街,C&W,Central  &  Western,中西區,1869-10-02,Page 477 of the Hong Kong Government Gazette,2/10/1869
PO YAP ROAD,寶邑路,SK,Sai  Kung,西貢,2002-02-08,899,37295
PO YEE STREET,普義街,C&W,Central  &  Western,中西區,1935-10-04,767,13061
PO YICK LANE,普益里,TP,Tai  Po,大埔,1990-05-04,1618,32997
PO YICK STREET,普益街,TP,Tai  Po,大埔,1954-04-09,435,19823
PO YING LANE,蒲英里,WTS,Wong Tai Sin,黃大仙,1976-01-02,42,27761
PO YIP STREET,寶業街,YL,Yuen Long,元朗,1983-01-28,325,30344
POK CHUEN PATH,博泉徑,ST,Sha Tin,沙田,2010-04-09,2046,40277
POK CHUEN STREET,博泉街,ST,Sha Tin,沙田,2010-04-09,2046,40277
POK FU LAM RESERVOIR ROAD,薄扶林水塘道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1937-09-24,682,13782
POK FU LAM RESERVOIR ROAD,薄扶林水塘道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1976-03-12,580,27831
POK FU LAM ROAD,薄扶林道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1976-03-12,580,27831
POK FU LAM ROAD,薄扶林道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1980-03-01,707,29281
POK HOK LANE,博學里,YTM,Yau Tsim Mong,油尖旺,1980-03-07,727,29287
POK MAN STREET,博文街,YTM,Yau Tsim Mong,油尖旺,1958-01-24,125,21209
POK MAN STREET,博文街,YTM,Yau Tsim Mong,油尖旺,1973-03-16,705,26739
POK OI INTERCHANGE,博愛交匯處,YL,Yuen Long,元朗,1994-10-14,3892,34621
POK WAI ROAD,壆圍路,YL,Yuen Long,元朗,2003-01-30,655,37651
POK WAI SOUTH ROAD,壆圍南路,YL,Yuen Long,元朗,2002-08-23,5146,37491
POK WAI WEST ROAD,壆圍西路,YL,Yuen Long,元朗,2004-07-09,4432,38177
POK YIN ROAD,博研路,TP,Tai  Po,大埔,2013-02-08,749,41313
POKFIELD PATH,蒲飛徑,C&W,Central  &  Western,中西區,1985-08-23,2770,31282
POKFIELD ROAD,蒲飛路,C&W,Central  &  Western,中西區,1961-08-04,1334,22497
POLICE SCHOOL ROAD,警校道,S,Southern,南區,1971-10-01,2254,26207
POLICE SCHOOL ROAD,警校道,S,Southern,南區,1997-09-19,1406,35692
POLICE STATION PATH,警署徑,Is,Islands,離島,1984-01-20,204,30701
POLLOCK'S PATH,普樂道,C&W,Central  &  Western,中西區,1960-07-29,1174,22126
POPLAR STREET,白楊街,YTM-SSP,Yau Tsim Mong / Sham  Shui  Po,油尖旺 / 深水埗,1927-11-25,699,10191
PORTLAND STREET,砵蘭街,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
PORTLAND STREET,砵蘭街,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
POSSESSION STREET,水坑口街,C&W,Central  &  Western,中西區,1887-09-03,356,3/9/1887
POWER STREET,大強街,E,Eastern,東區,1931-05-15,300,11458
POWER STREET,大強街,E,Eastern,東區,1931-07-10,436,11514
POWER STREET,大強街,E,Eastern,東區,1935-04-12,302,12886
POWER STREET,大強街,E,Eastern,東區,1993-05-21,1713,34110
PRAT AVENUE,寶勒巷,YTM,Yau Tsim Mong,油尖旺,1921-02-04,46,7706
PRATAS STREET,東沙島街,SSP,Sham  Shui  Po,深水埗,1934-02-09,91,12459
PRICE ROAD,裴樂士道,WC,Wan  Chai,灣仔,1971-10-08,2313,26214
PRINCE EDWARD ROAD EAST,太子道東,KC-WTS-KT,Kowloon  City / Wong Tai Sin / Kwun Tong,九龍城 / 黃大仙 / 觀塘,1979-01-12,111,28867
PRINCE EDWARD ROAD EAST,太子道東,KC-WTS-KT,Kowloon  City / Wong Tai Sin / Kwun Tong,九龍城 / 黃大仙 / 觀塘,2018-09-14,6972,43357
PRINCE EDWARD ROAD WEST,太子道西,YTM-KC,Yau Tsim Mong / Kowloon  City,油尖旺 / 九龍城,1979-01-12,111,28867
PRINCE'S TERRACE,太子台,C&W,Central  &  Western,中西區,1923-12-28,567,8763
PRINCESS MARGARET HOSPITAL ROAD,瑪嘉烈醫院路,K&T,Kwai  Tsing,葵青,1983-10-28,3424,30617
PRINCESS MARGARET ROAD,公主道,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1966-03-18,769,24184
PRINCESS MARGARET ROAD,公主道,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,2018-10-05,7463,43378
PUBLIC SQUARE STREET,眾坊街,YTM,Yau Tsim Mong,油尖旺,1976-09-24,2120,28027
PUI CHING ROAD,培正道,KC,Kowloon  City,九龍城,1955-01-28,99,20117
PUI MAN STREET,培民街,WTS,Wong Tai Sin,黃大仙,1973-02-02,312,26697
PUI SHING LANE,培成里,SK,Sai  Kung,西貢,1999-04-23,2194,36273
PUI SHING ROAD,培成路,SK,Sai  Kung,西貢,1993-02-19,554,34019
PUI TAK STREET,培德街,SSP,Sham  Shui  Po,深水埗,1977-07-29,1794,28335
PUI TO ROAD,杯渡路,TM,Tuen  Mun,屯門,1975-08-01,1693,27607
PUI TO ROAD,杯渡路,TM,Tuen  Mun,屯門,1977-11-18,2817,28447
PUI TO ROAD,杯渡路,TM,Tuen  Mun,屯門,1991-03-15,915,33312
PUI WING LANE,沛榮里,TM,Tuen  Mun,屯門,1977-05-27,1189,28272
PUI YIN LANE,培賢里,TP,Tai  Po,大埔,2001-03-30,2132,36980
PUN CHUN YUEN ROAD,半春園路,TP,Tai  Po,大埔,2003-05-02,3018,37743
